Species;survey;year;mean_number_pr_haul
Anarhichas lupus;BITSS1;1997;0.052631579
Anarhichas lupus;BITSS1;1998;0
Anarhichas lupus;BITSS1;1999;0.086956522
Anarhichas lupus;BITSS1;2000;0.043478261
Anarhichas lupus;BITSS1;2001;0.04
Anarhichas lupus;BITSS1;2002;0.045454546
Anarhichas lupus;BITSS1;2003;0.086956522
Anarhichas lupus;BITSS1;2004;0
Anarhichas lupus;BITSS1;2005;0.086956522
Anarhichas lupus;BITSS1;2006;0
Anarhichas lupus;BITSS1;2007;0.041666667
Anarhichas lupus;BITSS1;2008;0
Anarhichas lupus;BITSS1;2009;0.086956522
Anarhichas lupus;BITSS1;2010;0.037037037
Anarhichas lupus;BITSS1;2011;0
Anarhichas lupus;BITSS1;2012;0
Anarhichas lupus;BITSS1;2013;0
Anarhichas lupus;BITSS1;2014;0.038461539
Anarhichas lupus;BITSS1;2015;0
Anarhichas lupus;BITSS1;2016;0
Anarhichas lupus;BITSS1;2017;0
Anarhichas lupus;BITSS1;2018;0
Anarhichas lupus;BTS;1996;0.03030303
Anarhichas lupus;BTS;1997;2
Anarhichas lupus;BTS;1998;0.150815217
Anarhichas lupus;BTS;1999;0.173076923
Anarhichas lupus;BTS;2000;0.190476191
Anarhichas lupus;BTS;2001;0.125
Anarhichas lupus;BTS;2002;0.219512195
Anarhichas lupus;BTS;2003;0.261640798
Anarhichas lupus;BTS;2004;0.112637363
Anarhichas lupus;BTS;2005;0.02
Anarhichas lupus;BTS;2006;0
Anarhichas lupus;BTS;2007;0
Anarhichas lupus;BTS;2008;0.05
Anarhichas lupus;BTS;2009;0.040816327
Anarhichas lupus;BTS;2010;0.027027027
Anarhichas lupus;BTS;2011;0.025
Anarhichas lupus;BTS;2012;0.020408163
Anarhichas lupus;BTS;2013;0.086206897
Anarhichas lupus;BTS;2014;0.135135135
Anarhichas lupus;BTS;2015;0.081447964
Anarhichas lupus;BTS;2016;0.061725067
Anarhichas lupus;BTS;2017;0
Anarhichas lupus;BTS;2018;0.040816327
Anarhichas lupus;NS-IBTS1;1965;0
Anarhichas lupus;NS-IBTS1;1966;0
Anarhichas lupus;NS-IBTS1;1967;0.016129032
Anarhichas lupus;NS-IBTS1;1968;0.060185185
Anarhichas lupus;NS-IBTS1;1969;0.18627451
Anarhichas lupus;NS-IBTS1;1970;0.005376344
Anarhichas lupus;NS-IBTS1;1971;0.090425532
Anarhichas lupus;NS-IBTS1;1972;0.036423841
Anarhichas lupus;NS-IBTS1;1973;0.020134228
Anarhichas lupus;NS-IBTS1;1974;0.070987654
Anarhichas lupus;NS-IBTS1;1975;0.103825137
Anarhichas lupus;NS-IBTS1;1976;0.034482759
Anarhichas lupus;NS-IBTS1;1977;0.108333333
Anarhichas lupus;NS-IBTS1;1978;0.154716981
Anarhichas lupus;NS-IBTS1;1979;0.080536913
Anarhichas lupus;NS-IBTS1;1980;0.080701754
Anarhichas lupus;NS-IBTS1;1981;0.146586345
Anarhichas lupus;NS-IBTS1;1982;0.172330097
Anarhichas lupus;NS-IBTS1;1983;0.26199262
Anarhichas lupus;NS-IBTS1;1984;0.37366548
Anarhichas lupus;NS-IBTS1;1985;0.119891008
Anarhichas lupus;NS-IBTS1;1986;0.14498645
Anarhichas lupus;NS-IBTS1;1987;0.201530612
Anarhichas lupus;NS-IBTS1;1988;0.12191358
Anarhichas lupus;NS-IBTS1;1989;0.16984127
Anarhichas lupus;NS-IBTS1;1990;0.163987138
Anarhichas lupus;NS-IBTS1;1991;0.156346749
Anarhichas lupus;NS-IBTS1;1992;0.102473498
Anarhichas lupus;NS-IBTS1;1993;0.20295203
Anarhichas lupus;NS-IBTS1;1994;0.079787234
Anarhichas lupus;NS-IBTS1;1995;0.123595506
Anarhichas lupus;NS-IBTS1;1996;0.037254902
Anarhichas lupus;NS-IBTS1;1997;0.049056604
Anarhichas lupus;NS-IBTS1;1998;0.066101695
Anarhichas lupus;NS-IBTS1;1999;0.09352518
Anarhichas lupus;NS-IBTS1;2000;0.045138889
Anarhichas lupus;NS-IBTS1;2001;0.047457627
Anarhichas lupus;NS-IBTS1;2002;0.049180328
Anarhichas lupus;NS-IBTS1;2003;0.020408163
Anarhichas lupus;NS-IBTS1;2004;0.050363636
Anarhichas lupus;NS-IBTS1;2005;0.027586207
Anarhichas lupus;NS-IBTS1;2006;0.024716312
Anarhichas lupus;NS-IBTS1;2007;0.037878788
Anarhichas lupus;NS-IBTS1;2008;0.018450185
Anarhichas lupus;NS-IBTS1;2009;0.012518248
Anarhichas lupus;NS-IBTS1;2010;0.032142857
Anarhichas lupus;NS-IBTS1;2011;0.011152416
Anarhichas lupus;NS-IBTS1;2012;0.02238806
Anarhichas lupus;NS-IBTS1;2013;0.041509434
Anarhichas lupus;NS-IBTS1;2014;0.027204546
Anarhichas lupus;NS-IBTS1;2015;0.015209126
Anarhichas lupus;NS-IBTS1;2016;0.031771654
Anarhichas lupus;NS-IBTS1;2017;0.082659176
Anarhichas lupus;NS-IBTS1;2018;0.011764706
Anarhichas lupus;NS-IBTS3;1991;0.121399177
Anarhichas lupus;NS-IBTS3;1992;0.126736111
Anarhichas lupus;NS-IBTS3;1993;0.075
Anarhichas lupus;NS-IBTS3;1994;0.095041322
Anarhichas lupus;NS-IBTS3;1995;0.101809955
Anarhichas lupus;NS-IBTS3;1996;0.127615063
Anarhichas lupus;NS-IBTS3;1997;0.079710145
Anarhichas lupus;NS-IBTS3;1998;0.057268723
Anarhichas lupus;NS-IBTS3;1999;0.064784053
Anarhichas lupus;NS-IBTS3;2000;0.103585657
Anarhichas lupus;NS-IBTS3;2001;0.146953405
Anarhichas lupus;NS-IBTS3;2002;0.028469751
Anarhichas lupus;NS-IBTS3;2003;0.037174721
Anarhichas lupus;NS-IBTS3;2004;0.044086348
Anarhichas lupus;NS-IBTS3;2005;0.028854546
Anarhichas lupus;NS-IBTS3;2006;0.071185185
Anarhichas lupus;NS-IBTS3;2007;0.046230769
Anarhichas lupus;NS-IBTS3;2008;0.04886995
Anarhichas lupus;NS-IBTS3;2009;0.066964286
Anarhichas lupus;NS-IBTS3;2010;0.050183623
Anarhichas lupus;NS-IBTS3;2011;0.065932836
Anarhichas lupus;NS-IBTS3;2012;0.090551181
Anarhichas lupus;NS-IBTS3;2013;0.070038023
Anarhichas lupus;NS-IBTS3;2014;0.113962264
Anarhichas lupus;NS-IBTS3;2015;0.058363971
Anarhichas lupus;NS-IBTS3;2016;0.18245914
Anarhichas lupus;NS-IBTS3;2017;0.087207163
Anarhichas lupus;NS-IBTS3;2018;0.072483264
Anarhichas lupus;ROCKALL;1999;0.205128205
Anarhichas lupus;ROCKALL;2001;0.139534884
Anarhichas lupus;ROCKALL;2002;0.344827586
Anarhichas lupus;ROCKALL;2003;0.216666667
Anarhichas lupus;ROCKALL;2005;0.289473684
Anarhichas lupus;ROCKALL;2006;0.09375
Anarhichas lupus;ROCKALL;2007;0.095238095
Anarhichas lupus;ROCKALL;2008;0.108108108
Anarhichas lupus;ROCKALL;2009;0.1
Anarhichas lupus;ROCKALL;2011;0.051282051
Anarhichas lupus;ROCKALL;2012;0.071428571
Anarhichas lupus;ROCKALL;2013;0.037037037
Anarhichas lupus;ROCKALL;2014;0.052631579
Anarhichas lupus;ROCKALL;2015;0
Anarhichas lupus;ROCKALL;2016;0.025641026
Anarhichas lupus;ROCKALL;2017;1
Anarhichas lupus;ROCKALL;2018;0.03030303
Argyrosomus regius;EVHOE;1997;0.727272727
Argyrosomus regius;EVHOE;1998;5.980756396
Argyrosomus regius;EVHOE;1999;0.357142857
Argyrosomus regius;EVHOE;2000;3.8125
Argyrosomus regius;EVHOE;2001;1
Argyrosomus regius;EVHOE;2002;0.101867572
Argyrosomus regius;EVHOE;2003;0
Argyrosomus regius;EVHOE;2004;8.636363636
Argyrosomus regius;EVHOE;2005;0
Argyrosomus regius;EVHOE;2006;15.27749351
Argyrosomus regius;EVHOE;2007;0.2
Argyrosomus regius;EVHOE;2008;0.52631579
Argyrosomus regius;EVHOE;2009;0.076923077
Argyrosomus regius;EVHOE;2010;0
Argyrosomus regius;EVHOE;2011;0.0625
Argyrosomus regius;EVHOE;2012;1.176470588
Argyrosomus regius;EVHOE;2013;5.80862069
Argyrosomus regius;EVHOE;2014;0.133333333
Argyrosomus regius;EVHOE;2015;4.174573055
Argyrosomus regius;EVHOE;2016;0.235294118
Brosme brosme;NS-IBTS1;1966;0
Brosme brosme;NS-IBTS1;1967;0
Brosme brosme;NS-IBTS1;1968;0
Brosme brosme;NS-IBTS1;1969;0
Brosme brosme;NS-IBTS1;1970;0
Brosme brosme;NS-IBTS1;1971;0
Brosme brosme;NS-IBTS1;1972;0
Brosme brosme;NS-IBTS1;1973;0
Brosme brosme;NS-IBTS1;1974;0.03125
Brosme brosme;NS-IBTS1;1975;0.094339623
Brosme brosme;NS-IBTS1;1976;0.142857143
Brosme brosme;NS-IBTS1;1977;0.377358491
Brosme brosme;NS-IBTS1;1978;0.132352941
Brosme brosme;NS-IBTS1;1979;0.08
Brosme brosme;NS-IBTS1;1980;0.122222222
Brosme brosme;NS-IBTS1;1981;0.081967213
Brosme brosme;NS-IBTS1;1982;0.079365079
Brosme brosme;NS-IBTS1;1983;0.168478261
Brosme brosme;NS-IBTS1;1984;0.176470588
Brosme brosme;NS-IBTS1;1985;0.113636364
Brosme brosme;NS-IBTS1;1986;0.091304348
Brosme brosme;NS-IBTS1;1987;0.076576577
Brosme brosme;NS-IBTS1;1988;0.078431373
Brosme brosme;NS-IBTS1;1989;0.275862069
Brosme brosme;NS-IBTS1;1990;0.087912088
Brosme brosme;NS-IBTS1;1991;0.091836735
Brosme brosme;NS-IBTS1;1992;0.0625
Brosme brosme;NS-IBTS1;1993;0.541666667
Brosme brosme;NS-IBTS1;1994;0.070588235
Brosme brosme;NS-IBTS1;1995;0.1625
Brosme brosme;NS-IBTS1;1996;0.108433735
Brosme brosme;NS-IBTS1;1997;0.096385542
Brosme brosme;NS-IBTS1;1998;0.227272727
Brosme brosme;NS-IBTS1;1999;0.1875
Brosme brosme;NS-IBTS1;2000;0.252873563
Brosme brosme;NS-IBTS1;2001;0.186046512
Brosme brosme;NS-IBTS1;2002;0.310344828
Brosme brosme;NS-IBTS1;2003;0.088235294
Brosme brosme;NS-IBTS1;2004;0.162037037
Brosme brosme;NS-IBTS1;2005;0.168674699
Brosme brosme;NS-IBTS1;2006;0.151785714
Brosme brosme;NS-IBTS1;2007;0.074746835
Brosme brosme;NS-IBTS1;2008;0.037974684
Brosme brosme;NS-IBTS1;2009;0.011494253
Brosme brosme;NS-IBTS1;2010;0.06097561
Brosme brosme;NS-IBTS1;2011;0.026666667
Brosme brosme;NS-IBTS1;2012;0.035987654
Brosme brosme;NS-IBTS1;2013;0.038961039
Brosme brosme;NS-IBTS1;2014;0.036509434
Brosme brosme;NS-IBTS1;2015;0.08974359
Brosme brosme;NS-IBTS1;2016;0.062739726
Brosme brosme;NS-IBTS1;2017;0.090119048
Brosme brosme;NS-IBTS1;2018;0.034632035
Brosme brosme;NS-IBTS3;1991;0.057142857
Brosme brosme;NS-IBTS3;1992;0.143835616
Brosme brosme;NS-IBTS3;1993;0.126760563
Brosme brosme;NS-IBTS3;1994;0.113636364
Brosme brosme;NS-IBTS3;1995;0.25
Brosme brosme;NS-IBTS3;1996;0.166666667
Brosme brosme;NS-IBTS3;1997;0.140625
Brosme brosme;NS-IBTS3;1998;0.096774194
Brosme brosme;NS-IBTS3;1999;0.164948454
Brosme brosme;NS-IBTS3;2000;0.195121951
Brosme brosme;NS-IBTS3;2001;0.188172043
Brosme brosme;NS-IBTS3;2002;0.177083333
Brosme brosme;NS-IBTS3;2003;0.074712644
Brosme brosme;NS-IBTS3;2004;0.086075269
Brosme brosme;NS-IBTS3;2005;0.066413044
Brosme brosme;NS-IBTS3;2006;0.303205128
Brosme brosme;NS-IBTS3;2007;0.074285714
Brosme brosme;NS-IBTS3;2008;0.093764706
Brosme brosme;NS-IBTS3;2009;0.051724138
Brosme brosme;NS-IBTS3;2010;0.068181818
Brosme brosme;NS-IBTS3;2011;0.022727273
Brosme brosme;NS-IBTS3;2012;0.227411765
Brosme brosme;NS-IBTS3;2013;0.022222222
Brosme brosme;NS-IBTS3;2014;0.011235955
Brosme brosme;NS-IBTS3;2015;0.041793478
Brosme brosme;NS-IBTS3;2016;0.086538462
Brosme brosme;NS-IBTS3;2017;0
Brosme brosme;NS-IBTS3;2018;0.034482759
Brosme brosme;ROCKALL;1999;0.486842105
Brosme brosme;ROCKALL;2001;0.097560976
Brosme brosme;ROCKALL;2002;0.103448276
Brosme brosme;ROCKALL;2003;0.13559322
Brosme brosme;ROCKALL;2005;0.108108108
Brosme brosme;ROCKALL;2006;0.096774194
Brosme brosme;ROCKALL;2007;0.024390244
Brosme brosme;ROCKALL;2008;0.055555556
Brosme brosme;ROCKALL;2009;0.052631579
Brosme brosme;ROCKALL;2011;0.275
Brosme brosme;ROCKALL;2012;0.133333333
Brosme brosme;ROCKALL;2013;0
Brosme brosme;ROCKALL;2014;0.111111111
Brosme brosme;ROCKALL;2015;0.111111111
Brosme brosme;ROCKALL;2016;0.143311195
Brosme brosme;ROCKALL;2018;0.095588235
Brosme brosme;SWC-IBTS1;1985;0.472222222
Brosme brosme;SWC-IBTS1;1986;0
Brosme brosme;SWC-IBTS1;1987;0
Brosme brosme;SWC-IBTS1;1988;0.166666667
Brosme brosme;SWC-IBTS1;1989;0.384615385
Brosme brosme;SWC-IBTS1;1990;0.090909091
Brosme brosme;SWC-IBTS1;1991;0
Brosme brosme;SWC-IBTS1;1992;0.045454546
Brosme brosme;SWC-IBTS1;1993;0.090909091
Brosme brosme;SWC-IBTS1;1994;0
Brosme brosme;SWC-IBTS1;1995;0
Brosme brosme;SWC-IBTS1;1996;0.083333333
Brosme brosme;SWC-IBTS1;1997;0.076923077
Brosme brosme;SWC-IBTS1;1998;0.125
Brosme brosme;SWC-IBTS1;1999;0
Brosme brosme;SWC-IBTS1;2000;0
Brosme brosme;SWC-IBTS1;2001;0.076923077
Brosme brosme;SWC-IBTS1;2002;0
Brosme brosme;SWC-IBTS1;2003;0.071428571
Brosme brosme;SWC-IBTS1;2004;0.071428571
Brosme brosme;SWC-IBTS1;2005;0.0625
Brosme brosme;SWC-IBTS1;2006;0
Brosme brosme;SWC-IBTS1;2007;0
Brosme brosme;SWC-IBTS1;2008;0
Brosme brosme;SWC-IBTS1;2009;0.3125
Brosme brosme;SWC-IBTS1;2010;0.052631579
Brosme brosme;SWC-IBTS1;2011;0.466666667
Brosme brosme;SWC-IBTS1;2012;0.045454546
Brosme brosme;SWC-IBTS1;2013;0.15
Brosme brosme;SWC-IBTS1;2014;0
Brosme brosme;SWC-IBTS1;2015;0.047619048
Brosme brosme;SWC-IBTS1;2016;0
Brosme brosme;SWC-IBTS1;2017;0
Brosme brosme;SWC-IBTS1;2018;0
Chimaera monstrosa;EVHOE;1997;1.520061728
Chimaera monstrosa;EVHOE;1998;0.309384164
Chimaera monstrosa;EVHOE;1999;2.047924806
Chimaera monstrosa;EVHOE;2000;0.954433498
Chimaera monstrosa;EVHOE;2001;0.876773631
Chimaera monstrosa;EVHOE;2002;4.220713254
Chimaera monstrosa;EVHOE;2003;1.073530826
Chimaera monstrosa;EVHOE;2004;2.534103634
Chimaera monstrosa;EVHOE;2005;1.168971717
Chimaera monstrosa;EVHOE;2006;2.52434937
Chimaera monstrosa;EVHOE;2007;3.388118103
Chimaera monstrosa;EVHOE;2008;1.952285714
Chimaera monstrosa;EVHOE;2009;1.79935699
Chimaera monstrosa;EVHOE;2010;1.747337278
Chimaera monstrosa;EVHOE;2011;1.237591298
Chimaera monstrosa;EVHOE;2012;2.524460939
Chimaera monstrosa;EVHOE;2013;2.182806304
Chimaera monstrosa;EVHOE;2014;3.384264319
Chimaera monstrosa;EVHOE;2015;3.167505528
Chimaera monstrosa;EVHOE;2016;2.470015486
Chimaera monstrosa;NS-IBTS1;1967;0
Chimaera monstrosa;NS-IBTS1;1968;0
Chimaera monstrosa;NS-IBTS1;1970;0
Chimaera monstrosa;NS-IBTS1;1972;0
Chimaera monstrosa;NS-IBTS1;1973;0
Chimaera monstrosa;NS-IBTS1;1974;0
Chimaera monstrosa;NS-IBTS1;1975;0
Chimaera monstrosa;NS-IBTS1;1976;0.566666667
Chimaera monstrosa;NS-IBTS1;1977;0
Chimaera monstrosa;NS-IBTS1;1978;0
Chimaera monstrosa;NS-IBTS1;1979;0
Chimaera monstrosa;NS-IBTS1;1980;0
Chimaera monstrosa;NS-IBTS1;1981;0
Chimaera monstrosa;NS-IBTS1;1982;0.25
Chimaera monstrosa;NS-IBTS1;1983;0
Chimaera monstrosa;NS-IBTS1;1984;0.08
Chimaera monstrosa;NS-IBTS1;1985;0
Chimaera monstrosa;NS-IBTS1;1986;0.044117647
Chimaera monstrosa;NS-IBTS1;1987;0.676470588
Chimaera monstrosa;NS-IBTS1;1988;0.017241379
Chimaera monstrosa;NS-IBTS1;1989;0
Chimaera monstrosa;NS-IBTS1;1990;0.02
Chimaera monstrosa;NS-IBTS1;1991;0.1
Chimaera monstrosa;NS-IBTS1;1992;0.034482759
Chimaera monstrosa;NS-IBTS1;1993;0
Chimaera monstrosa;NS-IBTS1;1994;0
Chimaera monstrosa;NS-IBTS1;1995;0.333333333
Chimaera monstrosa;NS-IBTS1;1996;0.193548387
Chimaera monstrosa;NS-IBTS1;1997;0.333333333
Chimaera monstrosa;NS-IBTS1;1998;0.166666667
Chimaera monstrosa;NS-IBTS1;1999;0.310344828
Chimaera monstrosa;NS-IBTS1;2000;0.1
Chimaera monstrosa;NS-IBTS1;2001;0.107142857
Chimaera monstrosa;NS-IBTS1;2002;0
Chimaera monstrosa;NS-IBTS1;2003;0
Chimaera monstrosa;NS-IBTS1;2004;0.038461539
Chimaera monstrosa;NS-IBTS1;2005;0.064516129
Chimaera monstrosa;NS-IBTS1;2006;0.214285714
Chimaera monstrosa;NS-IBTS1;2007;0.068965517
Chimaera monstrosa;NS-IBTS1;2008;0.107142857
Chimaera monstrosa;NS-IBTS1;2009;0.068965517
Chimaera monstrosa;NS-IBTS1;2010;0
Chimaera monstrosa;NS-IBTS1;2011;0.148148148
Chimaera monstrosa;NS-IBTS1;2012;0.037037037
Chimaera monstrosa;NS-IBTS1;2013;0.357142857
Chimaera monstrosa;NS-IBTS1;2014;1.37952381
Chimaera monstrosa;NS-IBTS1;2015;1.444444444
Chimaera monstrosa;NS-IBTS1;2016;3.226724138
Chimaera monstrosa;NS-IBTS1;2017;1.344827586
Chimaera monstrosa;NS-IBTS1;2018;0.463833333
Chimaera monstrosa;NS-IBTS3;1991;0.5
Chimaera monstrosa;NS-IBTS3;1992;0.038461539
Chimaera monstrosa;NS-IBTS3;1993;0.103448276
Chimaera monstrosa;NS-IBTS3;1994;0.366666667
Chimaera monstrosa;NS-IBTS3;1995;0.740740741
Chimaera monstrosa;NS-IBTS3;1996;0.428571429
Chimaera monstrosa;NS-IBTS3;1997;0.214285714
Chimaera monstrosa;NS-IBTS3;1998;0.037037037
Chimaera monstrosa;NS-IBTS3;1999;0.4
Chimaera monstrosa;NS-IBTS3;2000;0
Chimaera monstrosa;NS-IBTS3;2001;0.716666667
Chimaera monstrosa;NS-IBTS3;2002;0.621212121
Chimaera monstrosa;NS-IBTS3;2003;0.375
Chimaera monstrosa;NS-IBTS3;2004;0.206896552
Chimaera monstrosa;NS-IBTS3;2005;0.103448276
Chimaera monstrosa;NS-IBTS3;2006;0.44
Chimaera monstrosa;NS-IBTS3;2007;0
Chimaera monstrosa;NS-IBTS3;2008;0.037037037
Chimaera monstrosa;NS-IBTS3;2009;0
Chimaera monstrosa;NS-IBTS3;2010;0.555555556
Chimaera monstrosa;NS-IBTS3;2011;0.235
Chimaera monstrosa;NS-IBTS3;2012;2.768214286
Chimaera monstrosa;NS-IBTS3;2013;0.25
Chimaera monstrosa;NS-IBTS3;2014;0.555555556
Chimaera monstrosa;NS-IBTS3;2015;0.892857143
